datetime,inflow_cfs,outflow_cfs
2015-10-01,352.0,881.0
2015-10-02,430.0,839.0
2015-10-03,710.0,865.0
2015-10-04,478.0,855.0
2015-10-05,439.0,839.0
2015-10-06,434.0,810.0
2015-10-07,438.0,776.0
2015-10-08,384.0,775.0
2015-10-09,347.0,860.0
2015-10-10,626.0,1260.0
2015-10-11,431.0,657.0
2015-10-12,384.0,856.0
2015-10-13,343.0,741.0
2015-10-14,352.0,734.0
2015-10-15,381.0,621.0
2015-10-16,280.0,767.0
2015-10-17,546.0,679.0
2015-10-18,394.0,629.0
2015-10-19,296.0,630.0
2015-10-20,313.0,672.0
2015-10-21,257.0,774.0
2015-10-22,250.0,782.0
2015-10-23,253.0,1141.0
2015-10-24,509.0,612.0
2015-10-25,316.0,638.0
2015-10-26,236.0,644.0
2015-10-27,254.0,723.0
2015-10-28,251.0,523.0
2015-10-29,257.0,750.0
2015-10-30,242.0,640.0
2015-10-31,472.0,963.0
2015-11-01,262.0,1006.0
2015-11-02,355.0,992.0
2015-11-03,411.0,625.0
2015-11-04,379.0,886.0
2015-11-05,344.0,636.0
2015-11-06,386.0,568.0
2015-11-07,580.0,413.0
2015-11-08,356.0,419.0
2015-11-09,395.0,411.0
2015-11-10,404.0,605.0
2015-11-11,382.0,717.0
2015-11-12,320.0,653.0
2015-11-13,319.0,745.0
2015-11-14,574.0,660.0
2015-11-15,450.0,404.0
2015-11-16,402.0,648.0
2015-11-17,542.0,815.0
2015-11-18,546.0,660.0
2015-11-19,575.0,630.0
2015-11-20,595.0,695.0
2015-11-21,749.0,727.0
2015-11-22,556.0,609.0
2015-11-23,459.0,650.0
2015-11-24,498.0,662.0
2015-11-25,456.0,648.0
2015-11-26,494.0,639.0
2015-11-27,539.0,681.0
2015-11-28,755.0,627.0
2015-11-29,452.0,567.0
2015-11-30,612.0,652.0
2015-12-01,519.0,771.0
2015-12-02,504.0,708.0
2015-12-03,457.0,650.0
2015-12-04,612.0,669.0
2015-12-05,887.0,379.0
2015-12-06,561.0,561.0
2015-12-07,506.0,712.0
2015-12-08,569.0,523.0
2015-12-09,542.0,567.0
2015-12-10,716.0,813.0
2015-12-11,2316.0,447.0
2015-12-12,1538.0,671.0
2015-12-13,1110.0,477.0
2015-12-14,1589.0,620.0
2015-12-15,1067.0,600.0
2015-12-16,847.0,587.0
2015-12-17,761.0,629.0
2015-12-18,912.0,459.0
2015-12-19,1304.0,624.0
2015-12-20,866.0,591.0
2015-12-21,1933.0,487.0
2015-12-22,17904.0,512.0
2015-12-23,10873.0,630.0
2015-12-24,5047.0,515.0
2015-12-25,3141.0,706.0
2015-12-26,2459.0,466.0
2015-12-27,1988.0,393.0
2015-12-28,2205.0,616.0
2015-12-29,1963.0,663.0
2015-12-30,2414.0,548.0
2015-12-31,1755.0,621.0
2016-01-01,1496.0,636.0
2016-01-02,1636.0,563.0
2016-01-03,958.0,729.0
2016-01-04,1492.0,868.0
2016-01-05,2352.0,494.0
2016-01-06,2557.0,831.0
2016-01-07,2433.0,629.0
2016-01-08,2190.0,394.0
2016-01-09,2094.0,447.0
2016-01-10,2027.0,521.0
2016-01-11,2042.0,814.0
2016-01-12,1792.0,582.0
2016-01-13,1559.0,460.0
2016-01-14,2108.0,564.0
2016-01-15,3112.0,324.0
2016-01-16,3481.0,348.0
2016-01-17,4181.0,516.0
2016-01-18,9434.0,622.0
2016-01-19,8220.0,422.0
2016-01-20,8381.0,489.0
2016-01-21,5772.0,786.0
2016-01-22,4575.0,311.0
2016-01-23,7510.0,449.0
2016-01-24,7774.0,809.0
2016-01-25,5764.0,780.0
2016-01-26,4644.0,876.0
2016-01-27,4360.0,1279.0
2016-01-28,3858.0,756.0
2016-01-29,6047.0,749.0
2016-01-30,36323.0,524.0
2016-01-31,15102.0,540.0
2016-02-01,9576.0,1029.0
2016-02-02,7328.0,967.0
2016-02-03,6184.0,856.0
2016-02-04,5271.0,1010.0
2016-02-05,5142.0,1385.0
2016-02-06,4722.0,1407.0
2016-02-07,4308.0,1822.0
2016-02-08,4483.0,2285.0
2016-02-09,4127.0,1427.0
2016-02-10,3719.0,3070.0
2016-02-11,3871.0,3091.0
2016-02-12,3800.0,2777.0
2016-02-13,3715.0,2878.0
2016-02-14,3455.0,3278.0
2016-02-15,3398.0,2842.0
2016-02-16,4012.0,2769.0
2016-02-17,4666.0,3145.0
2016-02-18,6055.0,2645.0
2016-02-19,5218.0,3293.0
2016-02-20,4191.0,3310.0
2016-02-21,3819.0,2880.0
2016-02-22,4046.0,3370.0
2016-02-23,3984.0,6978.0
2016-02-24,4237.0,6895.0
2016-02-25,3634.0,6768.0
2016-02-26,3091.0,5452.0
2016-02-27,3232.0,4595.0
2016-02-28,2998.0,4591.0
2016-02-29,3759.0,3769.0
2016-03-01,3456.0,3288.0
2016-03-02,3218.0,3004.0
2016-03-03,4200.0,3013.0
2016-03-04,4856.0,3510.0
2016-03-05,10058.0,3872.0
2016-03-06,25932.0,4208.0
2016-03-07,23005.0,7164.0
2016-03-08,12817.0,11991.0
2016-03-09,9276.0,14544.0
2016-03-10,9078.0,14842.0
2016-03-11,11756.0,15300.0
2016-03-12,14795.0,18040.0
2016-03-13,23953.0,19426.0
2016-03-14,32216.0,19187.0
2016-03-15,18118.0,19131.0
2016-03-16,12646.0,17725.0
2016-03-17,10825.0,16491.0
2016-03-18,9014.0,16147.0
2016-03-19,8547.0,14201.0
2016-03-20,8517.0,11785.0
2016-03-21,11809.0,10320.0
2016-03-22,12408.0,9512.0
2016-03-23,10132.0,7862.0
2016-03-24,9076.0,6940.0
2016-03-25,9254.0,6396.0
2016-03-26,8800.0,5733.0
2016-03-27,7847.0,6062.0
2016-03-28,8206.0,5921.0
2016-03-29,7364.0,5229.0
2016-03-30,6480.0,5243.0
2016-03-31,6243.0,3878.0
2016-04-01,5775.0,3785.0
2016-04-02,6169.0,3453.0
2016-04-03,6710.0,3011.0
2016-04-04,6028.0,3962.0
2016-04-05,6419.0,2935.0
2016-04-06,6778.0,3620.0
2016-04-07,6219.0,3427.0
2016-04-08,7039.0,3754.0
2016-04-09,6816.0,3575.0
2016-04-10,7573.0,3088.0
2016-04-11,7291.0,3680.0
2016-04-12,6956.0,3268.0
2016-04-13,6047.0,3299.0
2016-04-14,5610.0,3362.0
2016-04-15,5567.0,3512.0
2016-04-16,5052.0,3600.0
2016-04-17,4783.0,3579.0
2016-04-18,5230.0,3611.0
2016-04-19,5448.0,3257.0
2016-04-20,5399.0,3046.0
2016-04-21,5328.0,3740.0
2016-04-22,6678.0,3297.0
2016-04-23,5744.0,3300.0
2016-04-24,5228.0,3038.0
2016-04-25,5343.0,3242.0
2016-04-26,6268.0,3682.0
2016-04-27,3566.0,3466.0
2016-04-28,3318.0,3222.0
2016-04-29,3617.0,3566.0
2016-04-30,4112.0,3591.0
2016-05-01,4141.0,3200.0
2016-05-02,4782.0,3819.0
2016-05-03,4964.0,3442.0
2016-05-04,5111.0,3641.0
2016-05-05,4063.0,4112.0
2016-05-06,5366.0,4572.0
2016-05-07,5631.0,4778.0
2016-05-08,4944.0,4980.0
2016-05-09,4487.0,4801.0
2016-05-10,5120.0,4781.0
2016-05-11,5158.0,4857.0
2016-05-12,4979.0,4477.0
2016-05-13,5070.0,4601.0
2016-05-14,4618.0,4637.0
2016-05-15,5020.0,4628.0
2016-05-16,5591.0,5013.0
2016-05-17,5479.0,4841.0
2016-05-18,5691.0,5278.0
2016-05-19,5420.0,5151.0
2016-05-20,5496.0,5271.0
2016-05-21,5322.0,5365.0
2016-05-22,5235.0,5556.0
2016-05-23,4449.0,5192.0
2016-05-24,4273.0,5557.0
2016-05-25,3837.0,5444.0
2016-05-26,4130.0,4889.0
2016-05-27,3596.0,4286.0
2016-05-28,3552.0,4395.0
2016-05-29,3431.0,4012.0
2016-05-30,3389.0,4914.0
2016-05-31,4125.0,4012.0
2016-06-01,3949.0,4549.0
2016-06-02,3731.0,4513.0
2016-06-03,3836.0,4338.0
2016-06-04,3789.0,4374.0
2016-06-05,3702.0,4058.0
2016-06-06,3921.0,4677.0
2016-06-07,3036.0,4330.0
2016-06-08,2589.0,4448.0
2016-06-09,3487.0,4206.0
2016-06-10,4033.0,4442.0
2016-06-11,3721.0,4503.0
2016-06-12,2741.0,4189.0
2016-06-13,2030.0,4522.0
2016-06-14,2212.0,4305.0
2016-06-15,2605.0,4566.0
2016-06-16,2342.0,4262.0
2016-06-17,2059.0,4524.0
2016-06-18,1902.0,4444.0
2016-06-19,2030.0,4352.0
2016-06-20,1853.0,4263.0
2016-06-21,2136.0,4416.0
2016-06-22,2148.0,4320.0
2016-06-23,1698.0,4265.0
2016-06-24,1419.0,4640.0
2016-06-25,1960.0,4314.0
2016-06-26,2340.0,4480.0
2016-06-27,2426.0,4359.0
2016-06-28,2251.0,4135.0
2016-06-29,1689.0,4501.0
2016-06-30,1621.0,4543.0
2016-07-01,2200.0,4659.0
2016-07-02,2067.0,4854.0
2016-07-03,1821.0,4933.0
2016-07-04,1926.0,5021.0
2016-07-05,1716.0,5243.0
2016-07-06,1422.0,4747.0
2016-07-07,1809.0,5868.0
2016-07-08,1636.0,5441.0
2016-07-09,2391.0,5369.0
2016-07-10,1882.0,5457.0
2016-07-11,1372.0,5476.0
2016-07-12,1588.0,5206.0
2016-07-13,1508.0,5421.0
2016-07-14,1972.0,5301.0
2016-07-15,1776.0,5186.0
2016-07-16,1753.0,5636.0
2016-07-17,1482.0,5558.0
2016-07-18,915.0,5056.0
2016-07-19,1574.0,5555.0
2016-07-20,1534.0,5487.0
2016-07-21,1585.0,5395.0
2016-07-22,1439.0,5537.0
2016-07-23,1700.0,5485.0
2016-07-24,1590.0,5560.0
2016-07-25,1616.0,5511.0
2016-07-26,1474.0,5294.0
2016-07-27,1596.0,5301.0
2016-07-28,1682.0,5511.0
2016-07-29,1689.0,5466.0
2016-07-30,1836.0,5734.0
2016-07-31,1760.0,5128.0
2016-08-01,1522.0,5384.0
2016-08-02,1567.0,5361.0
2016-08-03,1607.0,4736.0
2016-08-04,1596.0,5190.0
2016-08-05,1454.0,4781.0
2016-08-06,1484.0,5210.0
2016-08-07,1521.0,4702.0
2016-08-08,1424.0,4818.0
2016-08-09,1476.0,4912.0
2016-08-10,1353.0,4541.0
2016-08-11,1480.0,4629.0
2016-08-12,1545.0,4728.0
2016-08-13,1676.0,4095.0
2016-08-14,1798.0,4165.0
2016-08-15,1579.0,5074.0
2016-08-16,1603.0,4530.0
2016-08-17,1595.0,4085.0
2016-08-18,1737.0,2921.0
2016-08-19,1598.0,3168.0
2016-08-20,1656.0,2901.0
2016-08-21,1438.0,2606.0
2016-08-22,1265.0,2313.0
2016-08-23,1430.0,2110.0
2016-08-24,1443.0,2293.0
2016-08-25,1530.0,2598.0
2016-08-26,1224.0,2075.0
2016-08-27,1340.0,2060.0
2016-08-28,1158.0,2130.0
2016-08-29,1457.0,2204.0
2016-08-30,1677.0,2130.0
2016-08-31,1882.0,2167.0
2016-09-01,1656.0,2017.0
2016-09-02,1525.0,1981.0
2016-09-03,1642.0,2112.0
2016-09-04,1582.0,1912.0
2016-09-05,1600.0,2300.0
2016-09-06,1222.0,1948.0
2016-09-07,1102.0,1725.0
2016-09-08,1287.0,1820.0
2016-09-09,1524.0,1849.0
2016-09-10,1576.0,1831.0
2016-09-11,1346.0,2068.0
2016-09-12,838.0,1718.0
2016-09-13,702.0,1587.0
2016-09-14,930.0,1414.0
2016-09-15,1195.0,1706.0
2016-09-16,1275.0,1901.0
2016-09-17,1173.0,1733.0
2016-09-18,1127.0,1826.0
2016-09-19,999.0,1908.0
2016-09-20,1331.0,1899.0
2016-09-21,920.0,1856.0
2016-09-22,1239.0,1741.0
2016-09-23,940.0,1889.0
2016-09-24,1093.0,1910.0
2016-09-25,1135.0,1866.0
2016-09-26,1055.0,1895.0
2016-09-27,1380.0,1895.0
2016-09-28,1162.0,1930.0
2016-09-29,1243.0,1749.0
2016-09-30,1081.0,1942.0
2016-10-01,1038.0,1935.0
2016-10-02,1525.0,1878.0
2016-10-03,1043.0,1727.0
2016-10-04,1159.0,1829.0
2016-10-05,645.0,1079.0
2016-10-06,631.0,1258.0
2016-10-07,1158.0,1297.0
2016-10-08,867.0,1228.0
2016-10-09,842.0,1229.0
2016-10-10,836.0,1261.0
2016-10-11,574.0,1400.0
2016-10-12,925.0,1299.0
2016-10-13,807.0,1145.0
2016-10-14,1523.0,1241.0
2016-10-15,1369.0,1116.0
2016-10-16,3057.0,804.0
2016-10-17,7480.0,945.0
2016-10-18,3552.0,1095.0
2016-10-19,1408.0,1092.0
2016-10-20,1266.0,1092.0
2016-10-21,1584.0,1024.0
2016-10-22,1802.0,1014.0
2016-10-23,1512.0,1104.0
2016-10-24,984.0,1208.0
2016-10-25,1053.0,1173.0
2016-10-26,1376.0,944.0
2016-10-27,1953.0,1173.0
2016-10-28,4648.0,947.0
2016-10-29,5639.0,1126.0
2016-10-30,3902.0,1150.0
2016-10-31,6314.0,1080.0
2016-11-01,4966.0,995.0
2016-11-02,4077.0,1161.0
2016-11-03,3152.0,1062.0
2016-11-04,2261.0,1319.0
2016-11-05,1963.0,1318.0
2016-11-06,2121.0,1222.0
2016-11-07,2146.0,1267.0
2016-11-08,1958.0,1246.0
2016-11-09,1790.0,1151.0
2016-11-10,1850.0,1176.0
2016-11-11,1353.0,1234.0
2016-11-12,1760.0,1219.0
2016-11-13,2017.0,1276.0
2016-11-14,1673.0,1253.0
2016-11-15,1759.0,1238.0
2016-11-16,2195.0,1288.0
2016-11-17,2102.0,1130.0
2016-11-18,1664.0,1033.0
2016-11-19,2428.0,1092.0
2016-11-20,4212.0,1088.0
2016-11-21,3575.0,1133.0
2016-11-22,3041.0,1314.0
2016-11-23,2899.0,1029.0
2016-11-24,3223.0,1146.0
2016-11-25,3173.0,1274.0
2016-11-26,3590.0,1069.0
2016-11-27,4783.0,1181.0
2016-11-28,4361.0,1205.0
2016-11-29,3437.0,1217.0
2016-11-30,3241.0,1034.0
2016-12-01,3024.0,1096.0
2016-12-02,2897.0,1237.0
2016-12-03,2808.0,1249.0
2016-12-04,2784.0,1178.0
2016-12-05,2444.0,1408.0
2016-12-06,2439.0,1555.0
2016-12-07,2653.0,1534.0
2016-12-08,2825.0,1325.0
2016-12-09,4219.0,1284.0
2016-12-10,36020.0,1285.0
2016-12-11,29907.0,1759.0
2016-12-12,12047.0,3215.0
2016-12-13,9377.0,5208.0
2016-12-14,7799.0,10566.0
2016-12-15,12425.0,25580.0
2016-12-16,42914.0,32017.0
2016-12-17,17976.0,30223.0
2016-12-18,12090.0,30191.0
2016-12-19,9370.0,26853.0
2016-12-20,7999.0,22878.0
2016-12-21,6720.0,17909.0
2016-12-22,6516.0,14729.0
2016-12-23,5523.0,12014.0
2016-12-24,5495.0,10482.0
2016-12-25,4606.0,9121.0
2016-12-26,4999.0,7773.0
2016-12-27,4470.0,7257.0
2016-12-28,4771.0,6488.0
2016-12-29,4597.0,5252.0
2016-12-30,4139.0,5421.0
2016-12-31,4296.0,5341.0
2017-01-01,3655.0,4650.0
2017-01-02,4131.0,4269.0
2017-01-03,5077.0,3727.0
2017-01-04,18994.0,3535.0
2017-01-05,24476.0,9056.0
2017-01-06,15006.0,15531.0
2017-01-07,14131.0,24604.0
2017-01-08,61704.0,30204.0
2017-01-09,93775.0,34028.0
2017-01-10,72787.0,46021.0
2017-01-11,74708.0,57812.0
2017-01-12,35529.0,54590.0
2017-01-13,23419.0,45321.0
2017-01-14,18134.0,34375.0
2017-01-15,15491.0,32327.0
2017-01-16,13339.0,32075.0
2017-01-17,12074.0,31943.0
2017-01-18,13017.0,31820.0
2017-01-19,17329.0,31661.0
2017-01-20,21076.0,32035.0
2017-01-21,19084.0,25123.0
2017-01-22,18576.0,18340.0
2017-01-23,20223.0,15001.0
2017-01-24,15852.0,12940.0
2017-01-25,12463.0,10707.0
2017-01-26,10369.0,9273.0
2017-01-27,9115.0,8358.0
2017-01-28,8465.0,8277.0
2017-01-29,8212.0,7706.0
2017-01-30,6803.0,7819.0
2017-01-31,6984.0,6516.0
2017-02-01,6325.0,6847.0
2017-02-02,7312.0,7594.0
2017-02-03,12251.0,7757.0
2017-02-04,23086.0,12654.0
2017-02-05,18309.0,16426.0
2017-02-06,26641.0,22436.0
2017-02-07,84749.0,31124.0
2017-02-08,94770.0,34367.0
2017-02-09,99288.0,69918.0
2017-02-10,112641.0,80351.0
2017-02-11,56824.0,79247.0
2017-02-12,35697.0,74270.0
2017-02-13,26370.0,56478.0
2017-02-14,21125.0,38491.0
2017-02-15,18210.0,32689.0
2017-02-16,17444.0,32311.0
2017-02-17,18102.0,32217.0
2017-02-18,18560.0,32977.0
2017-02-19,17222.0,32567.0
2017-02-20,38368.0,31756.0
2017-02-21,74281.0,31808.0
2017-02-22,42442.0,32217.0
2017-02-23,29400.0,32231.0
2017-02-24,22874.0,32658.0
2017-02-25,19049.0,32725.0
2017-02-26,16538.0,32726.0
2017-02-27,15161.0,33175.0
2017-02-28,13236.0,28233.0
2017-03-01,12304.0,18942.0
2017-03-02,11243.0,15098.0
2017-03-03,10725.0,12741.0
2017-03-04,10306.0,11601.0
2017-03-05,11225.0,9740.0
2017-03-06,10270.0,8284.0
2017-03-07,7881.0,7773.0
2017-03-08,7496.0,7250.0
2017-03-09,7992.0,6352.0
2017-03-10,9627.0,5851.0
2017-03-11,9083.0,5254.0
2017-03-12,8842.0,5669.0
2017-03-13,9097.0,5987.0
2017-03-14,9432.0,6042.0
2017-03-15,9616.0,5675.0
2017-03-16,10441.0,5616.0
2017-03-17,10641.0,5514.0
2017-03-18,10896.0,5621.0
2017-03-19,11163.0,5590.0
2017-03-20,11065.0,5536.0
2017-03-21,16358.0,5505.0
2017-03-22,22534.0,5429.0
2017-03-23,16307.0,5349.0
2017-03-24,14206.0,6066.0
2017-03-25,13075.0,5931.0
2017-03-26,12470.0,5655.0
2017-03-27,12491.0,8946.0
2017-03-28,11252.0,13712.0
2017-03-29,9330.0,15466.0
2017-03-30,11563.0,12993.0
2017-03-31,12325.0,11546.0
2017-04-01,10236.0,10242.0
2017-04-02,10219.0,9899.0
2017-04-03,11077.0,9557.0
2017-04-04,10883.0,9157.0
2017-04-05,10255.0,8972.0
2017-04-06,10791.0,9463.0
2017-04-07,17231.0,9014.0
2017-04-08,23628.0,9028.0
2017-04-09,15632.0,9268.0
2017-04-10,13266.0,9324.0
2017-04-11,12332.0,9802.0
2017-04-12,10537.0,10478.0
2017-04-13,19391.0,11073.0
2017-04-14,17751.0,11109.0
2017-04-15,14795.0,10544.0
2017-04-16,13891.0,10779.0
2017-04-17,15068.0,10952.0
2017-04-18,22631.0,11128.0
2017-04-19,19746.0,13449.0
2017-04-20,16693.0,15437.0
2017-04-21,15042.0,15039.0
2017-04-22,14371.0,15621.0
2017-04-23,13357.0,15805.0
2017-04-24,13437.0,15693.0
2017-04-25,12656.0,15597.0
2017-04-26,13303.0,15713.0
2017-04-27,14836.0,15527.0
2017-04-28,14142.0,15427.0
2017-04-29,13223.0,15664.0
2017-04-30,12462.0,15831.0
2017-05-01,13184.0,15629.0
2017-05-02,12949.0,15546.0
2017-05-03,14148.0,15503.0
2017-05-04,16049.0,15473.0
2017-05-05,18385.0,15338.0
2017-05-06,19962.0,13338.0
2017-05-07,16563.0,11616.0
2017-05-08,15392.0,11055.0
2017-05-09,15127.0,9747.0
2017-05-10,13114.0,9869.0
2017-05-11,14053.0,9188.0
2017-05-12,15500.0,8957.0
2017-05-13,14766.0,8949.0
2017-05-14,13026.0,9192.0
2017-05-15,12648.0,9515.0
2017-05-16,11464.0,9256.0
2017-05-17,11293.0,9718.0
2017-05-18,10847.0,9970.0
2017-05-19,10215.0,10129.0
2017-05-20,10643.0,10033.0
2017-05-21,11556.0,10148.0
2017-05-22,12882.0,10165.0
2017-05-23,14049.0,10212.0
2017-05-24,14515.0,10073.0
2017-05-25,15372.0,8831.0
2017-05-26,15097.0,8514.0
2017-05-27,14007.0,7224.0
2017-05-28,14192.0,7134.0
2017-05-29,13825.0,7146.0
2017-05-30,13011.0,6786.0
2017-05-31,12760.0,6366.0
2017-06-01,11516.0,6938.0
2017-06-02,10772.0,7506.0
2017-06-03,10665.0,10975.0
2017-06-04,10825.0,12770.0
2017-06-05,11069.0,12754.0
2017-06-06,10650.0,13303.0
2017-06-07,9812.0,12742.0
2017-06-08,9603.0,11567.0
2017-06-09,10294.0,10566.0
2017-06-10,9031.0,8941.0
2017-06-11,7852.0,7772.0
2017-06-12,6221.0,7323.0
2017-06-13,6820.0,7900.0
2017-06-14,6741.0,7797.0
2017-06-15,5536.0,6574.0
2017-06-16,5853.0,6829.0
2017-06-17,6142.0,6823.0
2017-06-18,7012.0,6784.0
2017-06-19,2027.0,6939.0
2017-06-20,7792.0,5907.0
2017-06-21,7966.0,6194.0
2017-06-22,7705.0,5352.0
2017-06-23,7716.0,4704.0
2017-06-24,7774.0,4438.0
2017-06-25,7168.0,4527.0
2017-06-26,6494.0,4508.0
2017-06-27,5958.0,4510.0
2017-06-28,5085.0,4211.0
2017-06-29,5342.0,4443.0
2017-06-30,4574.0,4683.0
2017-07-01,4698.0,4533.0
2017-07-02,4647.0,4481.0
2017-07-03,4501.0,3879.0
2017-07-04,4578.0,4111.0
2017-07-05,4404.0,3952.0
2017-07-06,4163.0,3968.0
2017-07-07,3602.0,4171.0
2017-07-08,3737.0,3925.0
2017-07-09,3110.0,3965.0
2017-07-10,3110.0,3977.0
2017-07-11,2950.0,4087.0
2017-07-12,3028.0,4028.0
2017-07-13,2956.0,4168.0
2017-07-14,2281.0,4105.0
2017-07-15,3077.0,3783.0
2017-07-16,3113.0,4339.0
2017-07-17,2534.0,3732.0
2017-07-18,2321.0,4393.0
2017-07-19,2196.0,3694.0
2017-07-20,2360.0,4022.0
2017-07-21,2477.0,3957.0
2017-07-22,2780.0,4161.0
2017-07-23,3045.0,4011.0
2017-07-24,2582.0,4040.0
2017-07-25,2149.0,3940.0
2017-07-26,2178.0,4188.0
2017-07-27,2181.0,4230.0
2017-07-28,2320.0,3820.0
2017-07-29,2562.0,4174.0
2017-07-30,2269.0,3987.0
2017-07-31,2593.0,4355.0
2017-08-01,2354.0,4015.0
2017-08-02,3178.0,3890.0
2017-08-03,2910.0,4158.0
2017-08-04,2375.0,3963.0
2017-08-05,2066.0,4110.0
2017-08-06,2199.0,4127.0
2017-08-07,2089.0,3949.0
2017-08-08,2283.0,4145.0
2017-08-09,2268.0,4026.0
2017-08-10,2267.0,4035.0
2017-08-11,2350.0,4101.0
2017-08-12,2402.0,3819.0
2017-08-13,2062.0,3898.0
2017-08-14,1700.0,4020.0
2017-08-15,1683.0,3850.0
2017-08-16,1727.0,3787.0
2017-08-17,2178.0,4114.0
2017-08-18,2194.0,3921.0
2017-08-19,2443.0,3906.0
2017-08-20,2533.0,3843.0
2017-08-21,2158.0,3744.0
2017-08-22,2312.0,3992.0
2017-08-23,2818.0,3797.0
2017-08-24,2591.0,3988.0
2017-08-25,2282.0,3686.0
2017-08-26,2849.0,3782.0
2017-08-27,2764.0,3877.0
2017-08-28,2529.0,4052.0
2017-08-29,2419.0,3943.0
2017-08-30,2098.0,3779.0
2017-08-31,2026.0,3745.0
2017-09-01,2224.0,4129.0
2017-09-02,2410.0,4010.0
2017-09-03,2355.0,3922.0
2017-09-04,1970.0,3642.0
2017-09-05,1732.0,3929.0
2017-09-06,1654.0,3521.0
2017-09-07,2088.0,4065.0
2017-09-08,2275.0,3808.0
2017-09-09,2143.0,3908.0
2017-09-10,2145.0,3832.0
2017-09-11,2079.0,4058.0
2017-09-12,2240.0,3770.0
2017-09-13,2207.0,3602.0
2017-09-14,1928.0,3608.0
2017-09-15,1885.0,3800.0
2017-09-16,1958.0,3859.0
2017-09-17,1832.0,3763.0
2017-09-18,1608.0,3870.0
2017-09-19,1850.0,3866.0
2017-09-20,1792.0,3765.0
2017-09-21,1678.0,2348.0
2017-09-22,1635.0,4031.0
2017-09-23,1789.0,3795.0
2017-09-24,1677.0,3813.0
2017-09-25,1498.0,3816.0
2017-09-26,2133.0,4068.0
2017-09-27,2000.0,3628.0
2017-09-28,1814.0,3723.0
2017-09-29,2098.0,3737.0
2017-09-30,1599.0,3836.0
2017-10-01,1405.0,3665.0
2017-10-02,1234.0,3856.0
2017-10-03,839.0,3379.0
2017-10-04,802.0,3376.0
2017-10-05,588.0,3371.0
2017-10-06,1016.0,2935.0
2017-10-07,1052.0,3011.0
2017-10-08,1077.0,3088.0
2017-10-09,1058.0,2911.0
2017-10-10,987.0,3049.0
2017-10-11,827.0,2672.0
2017-10-12,866.0,2835.0
2017-10-13,1422.0,2715.0
2017-10-14,1396.0,2327.0
2017-10-15,1594.0,2436.0
2017-10-16,1425.0,2217.0
2017-10-17,1471.0,2714.0
2017-10-18,960.0,2378.0
2017-10-19,519.0,2336.0
2017-10-20,960.0,2457.0
2017-10-21,1225.0,2296.0
2017-10-22,1442.0,2540.0
2017-10-23,1256.0,2193.0
2017-10-24,810.0,2441.0
2017-10-25,869.0,2438.0
2017-10-26,792.0,2575.0
2017-10-27,838.0,2533.0
2017-10-28,915.0,2547.0
2017-10-29,940.0,2503.0
2017-10-30,766.0,2450.0
2017-10-31,574.0,2043.0
2017-11-01,569.0,2677.0
2017-11-02,645.0,2403.0
2017-11-03,631.0,2299.0
2017-11-04,1018.0,2239.0
2017-11-05,984.0,2114.0
2017-11-06,1076.0,2268.0
2017-11-07,728.0,2336.0
2017-11-08,711.0,2399.0
2017-11-09,1148.0,2808.0
2017-11-10,2012.0,2299.0
2017-11-11,2250.0,2319.0
2017-11-12,1791.0,2353.0
2017-11-13,1863.0,2397.0
2017-11-14,1783.0,2180.0
2017-11-15,1996.0,1955.0
2017-11-16,11635.0,1921.0
2017-11-17,12310.0,2144.0
2017-11-18,5196.0,1954.0
2017-11-19,3538.0,2222.0
2017-11-20,3168.0,2297.0
2017-11-21,3820.0,2121.0
2017-11-22,3830.0,2158.0
2017-11-23,3486.0,2605.0
2017-11-24,3381.0,1968.0
2017-11-25,2979.0,2179.0
2017-11-26,3696.0,2284.0
2017-11-27,7331.0,2192.0
2017-11-28,5657.0,2425.0
2017-11-29,4665.0,2007.0
2017-11-30,3827.0,2734.0
